window_id,category,cut3r_trained_iou,cut3r_random_iou,dinov2_iou,delta_cut3r_trained_minus_cut3r_random,delta_cut3r_trained_minus_dinov2,delta_cut3r_random_minus_dinov2
window-ba7e17e1cb32e317610c,parkingmeter,0.38235294117647056,0.3333333333333333,0.6923076923076923,0.04901960784313725,-0.30995475113122173,-0.358974358974359
window-c269620f6afdbd806881,apple,1.0,0.8157894736842105,0.926829268292683,0.1842105263157895,0.07317073170731703,-0.11103979460847246
window-c7640d03c742cc8aac45,sandwich,0.9452054794520548,0.7638888888888888,0.9175257731958762,0.18131659056316596,0.02767970625617855,-0.1536368843069874
window-c99a5bfe15cb45814351,frisbee,0.30701754385964913,0.8974358974358975,0.2634730538922156,-0.5904183535762484,0.04354448996743354,0.6339628435436819
window-d2a057f4645bdace4bd5,bowl,0.31992687385740404,0.03296703296703297,0.2080745341614907,0.2869598408903711,0.11185233969591335,-0.17510750119445773
window-d2cafac2e5f420069b71,hydrant,0.9552238805970149,0.5934065934065934,0.9438202247191011,0.3618172871904215,0.01140365587791381,-0.3504136313125077
window-d43860506de104c619e8,apple,0.8125,0.11607142857142858,0.140625,0.6964285714285714,0.671875,-0.024553571428571425
window-d5674e3ea685f8d37efe,cup,0.1111111111111111,0.0,0.4074074074074074,0.1111111111111111,-0.2962962962962963,-0.4074074074074074
window-d6bb9ab8745a445f1496,apple,0.96,0.0,0.8571428571428571,0.96,0.10285714285714287,-0.8571428571428571
window-d705e80e0d7095ea7d76,wineglass,0.9137931034482759,0.07201086956521739,0.8717948717948718,0.8417822338830585,0.041998231653404106,-0.7997840022296544
window-d8c4ae9f70782693fd3e,sandwich,0.9550561797752809,0.11827956989247312,0.926829268292683,0.8367766098828078,0.028226911482597927,-0.8085496984002098
window-d91c954a6142ed80a2f9,cup,0.9444444444444444,0.2777777777777778,0.7931034482758621,0.6666666666666666,0.15134099616858232,-0.5153256704980843
window-da8609d72741b3f4c14c,umbrella,0.9880952380952381,0.07142857142857142,0.948051948051948,0.9166666666666667,0.0400432900432901,-0.8766233766233766
window-dfc207e05907c2836e87,carrot,0.9636363636363636,0.9629629629629629,0.9066666666666666,0.0006734006734007147,0.056969696969697003,0.05629629629629629
window-e1bbeb5d18be97abfc02,toilet,0.8920863309352518,0.0,0.88268156424581,0.8920863309352518,0.00940476668944179,-0.88268156424581
window-e379ca27cd1249d72938,frisbee,0.925,0.4803921568627451,0.9471544715447154,0.44460784313725493,-0.022154471544715393,-0.4667623146819703
window-e3aed5737b2dc678d3ba,teddybear,0.9636363636363636,0.30857142857142855,0.9,0.6550649350649351,0.0636363636363636,-0.5914285714285714
window-e4283dcceb0afcf17e56,microwave,0.7764227642276422,0.0,0.8801498127340824,0.7764227642276422,-0.10372704850644021,-0.8801498127340824
window-e61f08b09cbe68d1d17b,toyplane,0.7647058823529411,0.28888888888888886,0.6666666666666666,0.47581699346405226,0.0980392156862745,-0.37777777777777777
window-e6d533fa0b9d42ea6f6b,chair,0.6396396396396397,0.1021021021021021,0.5827664399092971,0.5375375375375375,0.05687319973034255,-0.480664337807195
window-ed48b40ed24696670c0d,cake,0.6414141414141414,0.5343511450381679,0.9209039548022598,0.1070629963759735,-0.2794898133881184,-0.3865528097640919
window-efda7e54459646e3b7a3,ball,0.5555555555555556,0.8333333333333334,0.7857142857142857,-0.2777777777777778,-0.23015873015873012,0.04761904761904767
window-f4670df8c6873392256c,wineglass,0.9647058823529412,0.0,0.9238095238095239,0.9647058823529412,0.04089635854341733,-0.9238095238095239
window-f7412b5a029515c6e905,handbag,0.7688679245283019,0.06698564593301436,0.5833333333333334,0.7018822785952875,0.1855345911949685,-0.516347687400319
window-f78b9a0ca8a8b2f9cc54,book,0.8924050632911392,0.19270833333333334,0.8790697674418605,0.6996967299578059,0.013335295849278728,-0.6863614341085271
window-f80019c99e014a49c2b6,umbrella,0.9520958083832335,0.35,0.9457013574660633,0.6020958083832335,0.006394450917170169,-0.5957013574660633
